충전소,충전기ID,충전기타입,주소,이용가능시간
초원1차아파트,4,AC완속,전라남도 목포시 부흥로 28 ,24시간 이용가능
초원1차아파트,5,AC완속,전라남도 목포시 부흥로 28 ,24시간 이용가능
초원1차아파트,6,AC완속,전라남도 목포시 부흥로 28 ,24시간 이용가능
타이어나라 목포지점,1,AC완속,전라남도 목포시 영산로 712 ,24시간 이용가능
포미타운주공1단지,1,AC완속,전라남도 목포시 포미로 23 ,24시간 이용가능
포미타운주공1단지,2,AC완속,전라남도 목포시 포미로 23 ,24시간 이용가능
포미타운주공1단지,3,AC완속,전라남도 목포시 포미로 23 ,24시간 이용가능
포미타운주공1단지,4,AC완속,전라남도 목포시 포미로 23 ,24시간 이용가능
포미타운주공1단지,5,AC완속,전라남도 목포시 포미로 23 ,24시간 이용가능
포미타운주공1단지,6,AC완속,전라남도 목포시 포미로 23 ,24시간 이용가능
포미타운주공1단지,7,AC완속,전라남도 목포시 포미로 23 ,24시간 이용가능
포미타운주공1단지,8,AC완속,전라남도 목포시 포미로 23 ,24시간 이용가능
하당초원2차아파트,1,AC완속,전라남도 목포시 신흥로 93 ,24시간 이용가능
하당초원2차아파트,2,AC완속,전라남도 목포시 신흥로 93 ,24시간 이용가능
하당초원2차아파트,3,AC완속,전라남도 목포시 신흥로 93 ,24시간 이용가능
하당초원2차아파트,4,AC완속,전라남도 목포시 신흥로 93 ,24시간 이용가능
